created_at,text
930589997073403907,2017-11-15 00:15:19,"b""RT @BitesBlog: The Hop Stop has been sold; taproom's last day of business is this Wednesday. https://t.co/aD9UdTPK5F https://t.co/STwktryTjf"""
930567347185778688,2017-11-14 22:45:19,"b""RT @pithinthewind: Lawsuit: Principal told parents of alleged sex abuse victim she 'was not innocent.' @AuntB\nhttps://t.co/NiZpKzPTEQ https\xe2\x80\xa6"""
930546461711925253,2017-11-14 21:22:19,"b""RT @dpatrickrodgers: Native Nashvillian Dee Rees' anticipated @mudboundmovie is coming to Netflix Friday, but it'll also screen at the @Bel\xe2\x80\xa6"""
930515664326086656,2017-11-14 19:19:57,b'RT @iamstevenhale: I keep thinking of some of the things @amandashires shared here. The baseline sexism she describes is the oxygen for the\xe2\x80\xa6'
930514715301818369,2017-11-14 19:16:10,"b""RT @NashvilleCream: Before @S_C_ stops at @BrdgstoneArena on Wednesday, a look at how '4:44' upends gender norms \xe2\x80\x94 and many other things \xe2\x80\x94\xe2\x80\xa6"""
930507293812195329,2017-11-14 18:46:41,"b'RT @NashvilleCream: Watch @beccamancari\'s beautiful, placid ""Good Woman"" [Fresh Vid] https://t.co/c1TCo949lm https://t.co/HIeG80YjYB'"
930480259539111936,2017-11-14 16:59:16,b'RT @BitesBlog: Kuchnia &amp; Keller almost ready to start serving up Eastern European inspired fare in Germantown. Ex-City House sous chef Aaro\xe2\x80\xa6'
930472992374689792,2017-11-14 16:30:23,b'RT @pithinthewind: A new state audit highlights staffing shortages and other failures at @CoreCivic prisons https://t.co/rBENko96d8 https:/\xe2\x80\xa6'
930465403750572033,2017-11-14 16:00:14,b'RT @NPostPolitics: Congressional hopeful Mark Green silent on Roy Moore support https://t.co/VBLEx83JSD https://t.co/guMf8YWTSa'
930465349325037569,2017-11-14 16:00:01,"b'Nashville, 2 a.m.: Riding along with a Metro police officer. https://t.co/a19xEVUC9d https://t.co/hDxaLLxIGS'"
930441501791965184,2017-11-14 14:25:15,"b'RT @scavendish: Listeners of the ""It\'s All Your Fault"" podcast last week heard @BoclairSports break down Johansen\'s slow start and why @Pre\xe2\x80\xa6'"
930440223875616768,2017-11-14 14:20:10,"b'RT @ElliottStephenB: Congressional candidate and former Trump Army Secretary nominee @DrMarkGreen4TN donated thousands to Roy Moore, has de\xe2\x80\xa6'"
930429048899162112,2017-11-14 13:35:46,b'RT @scavendish: This is your annual reminder that the Nashville college teams plus MTSU should be playing a Philly-style Little Five each y\xe2\x80\xa6'
930196208014020608,2017-11-13 22:10:32,"b'Wait a minute ... our workforce housing plan is $1,000 a month studio apartments?\n\nhttps://t.co/1ebfR1DiaE https://t.co/PZwP6KaISi'"
930142065572315136,2017-11-13 18:35:24,"b""RT @NashvilleCream: For those about to partake of tonight's @gunsnroses blowout at @BrdgstoneArena, here's what to expect.\nhttps://t.co/vRt\xe2\x80\xa6"""
930122453728231424,2017-11-13 17:17:28,"b""RT @BitesBlog: Hawthorn's Gin plans a bar pop-up \xe2\x80\x94 somewhere in Nashville. (You have to register to find out. https://t.co/eEf7fT7aBo https\xe2\x80\xa6"""
930121977003696128,2017-11-13 17:15:34,b'RT @BitesBlog: Sarah Scarborough of Firepot Nomadic Teas (@FirepotChai) shares a dessert recipe to shake up the holidays: Rustic Puerh Bour\xe2\x80\xa6'
930118074119815168,2017-11-13 17:00:04,"b""This week's @VodkaYonic is about freedom, and the many risks that come with it. https://t.co/sj0Vj9becZ"""
930102980069744642,2017-11-13 16:00:05,"b""Nashville, 2 a.m.: We sit in on '@FOXNashville This Morning' and the folks who work all night to bring you a good m\xe2\x80\xa6 https://t.co/sIn2QykixB"""
930096834604879872,2017-11-13 15:35:40,"b""RT @NashvilleCream: .@taylorswift13's tour for 'Reputation' will be stopping in at @NissanStadium next summer.\nhttps://t.co/JMfiRQ2r0H http\xe2\x80\xa6"""
930095903490355200,2017-11-13 15:31:58,"b'RT @NashvilleCream: Additional update: Tickets for a sixth Bridgestone show, scheduled for Dec. 22, go on sale Nov. 16. https://t.co/jvliur\xe2\x80\xa6'"
929770787883565056,2017-11-12 18:00:04,"b'Nashville, 2 a.m.: @DozenBakery fills Wedgewood-Houston\xe2\x80\x99s quiet late-night air with hip-hop and the scent of meltin\xe2\x80\xa6 https://t.co/mZLf2SD3tN'"
929733278516486145,2017-11-12 15:31:01,b'Show us how you tailgate using #CheerstoGameday &amp; you could win a stay and dinner for two at @hotelindigo from our\xe2\x80\xa6 https://t.co/ExsPAAqCjy'
929408393500024832,2017-11-11 18:00:03,"b""Nashville, 2 a.m.: Working the graveyard at Hermitage Cafe, Nashville's historic all-night diner.\xe2\x80\xa6 https://t.co/3XwsoLCShx"""
929393284107161600,2017-11-11 17:00:00,"b'""A girl alone is always vulnerable. Fear is her normal state."" https://t.co/sj0Vj8TDlr https://t.co/i5BDWMfyug'"
929114769558253569,2017-11-10 22:33:17,"b""RT @NashvilleCream: Hear @AdiaVictoria explore her influences on the brand-new, transfixing 'Baby Blues' EP [Fresh Tracks] https://t.co/P6O\xe2\x80\xa6"""
929106511875461120,2017-11-10 22:00:29,b'RT @NashvilleCream: .@GoblinBand unleashed mayhem and menace on their Music City debut at @Exit_In. More from The Spin.\nhttps://t.co/pBvZt2\xe2\x80\xa6'
929080555962060800,2017-11-10 20:17:20,"b'RT @JasonIsbell: Without Robert\xe2\x80\x99s Western World on this list, it\xe2\x80\x99s officially nonsense https://t.co/kvONWpiyiv'"
929046002601836544,2017-11-10 18:00:02,"b""Todd Haynes is talented, but 'Wonderstruck' (opening today at the Belcourt) plays like a gimmicky academic exercise\xe2\x80\xa6 https://t.co/zvwbNHmCeN"""
929041930952040452,2017-11-10 17:43:51,"b'RT @NashvilleCream: .@courtneymelba and @therealkurtvile deliver a set long on charisma, short on surprises at @TheRyman. https://t.co/oak4\xe2\x80\xa6'"
929034529939042304,2017-11-10 17:14:27,"b""RT @BitesBlog: Jeni's Splendid Ice Creams introduces its first vegan ice cream, Dark Chocolate Truffle, available starting today at @jenisN\xe2\x80\xa6"""
929031362849529857,2017-11-10 17:01:52,b'RT @NashvilleCream: Update: @garthbrooks has announced a total of five shows for his December run at @BrdgstoneArena.\nhttps://t.co/96gobRna\xe2\x80\xa6'
929024214396530688,2017-11-10 16:33:27,"b'RT @NashvilleScene: In the latest Scenecast, editor @scavendish talks to sportswriter and radio personality @PaulKuharskyNFL about launchin\xe2\x80\xa6'"
929015816305115137,2017-11-10 16:00:05,"b""Nashville, 2 a.m.: Last call at Robert's Western World on Lower Broadway https://t.co/AyXyx3tTyX https://t.co/XDkSC9hBoO"""
928815646246391810,2017-11-10 02:44:41,b'@lindajbailey \xf0\x9f\x98\xbb'
928728913169149952,2017-11-09 21:00:02,"b""Splices: Top-notch @Belcourt holdovers and so-so wide releases, including 'Murder on the Orient Express.'\xe2\x80\xa6 https://t.co/7PBVS8TXTk"""
928728531361779715,2017-11-09 20:58:31,b'RT @GoldAdam: This might be an appropriate time to #Tbt post my 2016 @NashvilleScene cover story on #SturgillSimpson https://t.co/DjhzbPnYyP'
928724071126355970,2017-11-09 20:40:48,"b'In the latest Scenecast, editor @scavendish talks to sportswriter and radio personality @PaulKuharskyNFL about laun\xe2\x80\xa6 https://t.co/1Hh7J9rHpr'"
928721357331890177,2017-11-09 20:30:01,"b""Sugar Shock: Solving pie for Thanksgiving. Whether you prefer traditional or adventurous, here's where to find the\xe2\x80\xa6 https://t.co/tiBbTRWzLJ"""
928706564386639873,2017-11-09 19:31:14,b'RT @Emily_Passini: Props to @scavendish on the new #Preds podcast - \xe2\x80\x9cIt\xe2\x80\x99s All Your Fault.\xe2\x80\x9d Thoroughly enjoying it. #Smashville'
928683480766210049,2017-11-09 17:59:30,"b'RT @NashvilleCream: Oh, balls: Political puns, busking Sturgill, dresses that make grandma text you and more! Time for our recap of the 51s\xe2\x80\xa6'"
928672571167596544,2017-11-09 17:16:09,b'RT @BitesBlog: Stumptown Coffee and NY-style deli: The upcoming Fairlane Hotel downtown shares some restaurant news. https://t.co/IL47a7wAV\xe2\x80\xa6'
928663276082352128,2017-11-09 16:39:13,b'RT @pithinthewind: .@AuntB says everyone involved in this Taylor Swift controversy is a dumbass. https://t.co/DHvgIzooqj https://t.co/fQB3n\xe2\x80\xa6'
