id,created_at,text,#retweets,#favorites
932383112981635072,2017-11-19 23:00:31,"b""14 reasons you're tired all the time https://t.co/GCWspelwDi""",22,45
932379214732582914,2017-11-19 22:45:02,b'The 10 commandments of salary negotiation https://t.co/ZqpWwNkzcx',36,83
932375521270423554,2017-11-19 22:30:21,b'Why mosquitoes bite some people and not others https://t.co/RSDCWi1c5r',83,93
932372932860444674,2017-11-19 22:20:04,b'Y Combinator has quietly cut ties with Peter Thiel https://t.co/qviHabJv5D',12,28
932371684111323136,2017-11-19 22:15:06,b'How one couple managed to retire early\xe2\x80\x94to Spain https://t.co/Rq71V5H5H5',15,66
932368024136572931,2017-11-19 22:00:34,"b""Watch a man lose it when his wife reveals she's pregnant in a photo booth https://t.co/lrqGTMZgfv""",13,54
932364112012685312,2017-11-19 21:45:01,b'Adorable 3-year old makes surprisingly convincing argument for why he deserves a cupcake https://t.co/bOs4UijIoH',37,94
932360413559312386,2017-11-19 21:30:19,"b""This is how the average American man's body compares to others from around the world https://t.co/UsHATNMdmA""",37,47
932356576500965376,2017-11-19 21:15:04,b'These are the 10 most filling foods for weight loss https://t.co/VU7xVogxTq',30,96
932354055044820993,2017-11-19 21:05:03,"b'""Justice League"" disappoints at U.S. box office with $96 million opening https://t.co/ZKbfgZnxXv'",16,29
932352912583528448,2017-11-19 21:00:31,b'These are the worst jobs in America https://t.co/FQoS0tK20t',19,37
932350293865582592,2017-11-19 20:50:06,"b""Jerry Jones is still fighting NFL commissioner Roger Goodell's new contract https://t.co/YwVNLAy5QW""",16,35
932349023381532677,2017-11-19 20:45:04,"b""11 reasons why you're not losing belly fat https://t.co/woagvBeK5e""",60,99
932346517289164800,2017-11-19 20:35:06,b'Zimbabwe President Robert Mugabe shocks country by not resigning in TV address https://t.co/3nq3m5VAki',143,103
932345315574808581,2017-11-19 20:30:20,b'What happens if you swipe your debit card as \xe2\x80\x9ccredit\xe2\x80\x9d https://t.co/LEVsEqiOEB',20,49
932341488192835584,2017-11-19 20:15:07,b'This is the best answer to the question: What are your salary requirements? https://t.co/HXctMn7i7B',22,75
932337835104964609,2017-11-19 20:00:36,b'3 breakfast rules to follow to lose weight https://t.co/cWAGw1BLDo',23,65
