id,created_at,text,#retweets,#favorites
932383978362949633,2017-11-19 23:03:57,b'Indian states do battle over a sickly treat https://t.co/BV0yC0HjVT',10,14
932380865354784770,2017-11-19 22:51:35,b'A modern history of Iran https://t.co/T8fSX8riMe',41,111
932376710695309312,2017-11-19 22:35:05,b'How to send a message to another planet https://t.co/3xCJCgHEW6',17,45
932373586882555904,2017-11-19 22:22:40,"b""As Brexit begins to bite, Britain's economic future is not the only thing in question. In 2018, Britain could lose\xe2\x80\xa6 https://t.co/0jE3U1grYI""",73,98
932372156511608833,2017-11-19 22:16:59,b'.@HoratioClare writes that his journey on a Finnish icebreaker has broken open from within him both a heaven and a\xe2\x80\xa6 https://t.co/dkBBBsO8X1',33,58
932367722389884928,2017-11-19 21:59:22,b'Growing tiny tumours in the lab could help treat cancer https://t.co/5Vuv1T63yq',32,60
932364621830328320,2017-11-19 21:47:02,"b'Over 93% of DACA recipients over the age of 25 are employed, compared with 78% of all Americans between 25 and 54 https://t.co/DGDeqKAqaw'",129,179
932360526054723585,2017-11-19 21:30:46,b'To some of her fans Meral Aksener is already Turkey\xe2\x80\x99s best hope of reversing the descent into absolute rule https://t.co/VLTqf365U1',69,95
932356371462479872,2017-11-19 21:14:15,"b'Latin American democracy may be wounded, but it is far from dead https://t.co/JL7MgQT3Ag'",62,91
932351945880334336,2017-11-19 20:56:40,"b""Ecuador, home of the world's best chocolate. From @1843mag https://t.co/xKtTxHlyKm https://t.co/tQ1XF33nPJ""",119,232
932348575820013568,2017-11-19 20:43:17,"b'A new surgical robot, not yet on the market, could help remove tricky lung tumours https://t.co/T8vXD2FWdh'",52,74
932343958503591936,2017-11-19 20:24:56,"b'Victims tend to be young, junior and working in male-dominated industries. They are overwhelmingly women https://t.co/yJXbt9n723'",186,193
932339338188394496,2017-11-19 20:06:34,b'Dee Rees has created a finely wrought portrait of the post-war South that shows both the beauty and the filth https://t.co/pgZ6Nl2Akm',28,66
932334732657950727,2017-11-19 19:48:16,b'Cannabis companies find themselves in a unique regulatory bind https://t.co/rTEGKjSjs3',57,106
932331179579146240,2017-11-19 19:34:09,"b'As crime dries up, Japan\xe2\x80\x99s police hunt for things to do https://t.co/k9MFit1F7s'",153,216
932326589815287808,2017-11-19 19:15:55,b'Technology is on the verge of being able to generate credible video and audio of anyone saying anything https://t.co/XhfCFuK6px',130,130
932322927533543425,2017-11-19 19:01:22,b'Iowa exports more soybeans to China than to all other countries combined https://t.co/r44pdzXtKJ',32,57
932317985401864192,2017-11-19 18:41:44,b'\xe2\x80\x9cDawn of the New Everything\xe2\x80\x9d is essential reading on how society came to be how it is\xe2\x80\x94and what it might yet become https://t.co/hqWK46EW3j',53,80
932314510874071040,2017-11-19 18:27:55,b'Just how important is sex to a marriage\xe2\x80\x99s success? https://t.co/y0UQ6KobJ1',53,120
932309862964441089,2017-11-19 18:09:27,b'One photograph depicts a fist bump with a cleaner. The next shows the euphoria of passing the Affordable Care Act https://t.co/A0244WAQEX',72,196
932304998591016960,2017-11-19 17:50:07,b'Should Queen Elizabeth pay tax? https://t.co/2Anx9ry10T',88,208
932300544902877185,2017-11-19 17:32:25,"b'The claim that airports allocate landing and take-off slots in a way that is ""fair, neutral and transparent"" is hog\xe2\x80\xa6 https://t.co/22xctKmW8y'",64,69
932299119468711938,2017-11-19 17:26:46,"b'To combat recent ""hazing"" deaths, American colleges are clamping down on initiation ceremonies https://t.co/WcuDYkJuFE'",112,114
932297682844049408,2017-11-19 17:21:03,"b'Many credit RoseLee Goldberg, a curator and art historian, with bringing the medium into the mainstream https://t.co/5qINnEnkJP'",13,31
932293168770486272,2017-11-19 17:03:07,b'Which countries are most generous to new parents?\nhttps://t.co/AB0AIhZizr',91,119
932288668278099970,2017-11-19 16:45:14,"b'If people aren\xe2\x80\x99t marrying and aren\xe2\x80\x99t dating, how do they satisfy their need for intimacy? https://t.co/7FyIzlhBKf'",92,178
932284460418191361,2017-11-19 16:28:31,b'About 7m people who voted for Barack Obama in 2012 then voted for Donald Trump in 2016 https://t.co/6vXliilmls',91,127
932281213154361345,2017-11-19 16:15:36,"b""For Britain's pharma industry, the prospect of a no-deal Brexit is causing queasiness https://t.co/fPvTGk3pxy""",44,43
932276593216671744,2017-11-19 15:57:15,b'These pianos (with trendy names like QuietTime and Transacoustic) combine acoustic and digital pianos in innovative\xe2\x80\xa6 https://t.co/ei7Foivy1X',20,48
932271932426391552,2017-11-19 15:38:44,b'Donald Trump\xe2\x80\x99s rise seems to have coincided with a turnaround in fortunes for the middle-class https://t.co/cuaVh9Hk11',60,96
932267524464545792,2017-11-19 15:21:13,b'Narendra Modi has shied from broaching the electorally tricky question of air pollution https://t.co/uAqIR1v5kk',40,56
932264422810247170,2017-11-19 15:08:53,"b'India protects hundreds of regional foods including Darjeeling tea, Basmati rice and now, Bengali rasgulle https://t.co/KdHBUuwepL'",46,95
932260400011366400,2017-11-19 14:52:54,b'Xi Jinping sees local-government debt as one of the two biggest threats to China\xe2\x80\x99s financial stability https://t.co/6sYo7NOzYe',95,97
932256683656663040,2017-11-19 14:38:08,b'The EU 27 are by no means blameless for the slowness of Brexit talks. But Britain is the bigger culprit https://t.co/mcOLxRt729',65,89
932253656220667904,2017-11-19 14:26:06,b'Scientists have sent tutorials in mathematics and physics to a distant planet. The import of the message will be cl\xe2\x80\xa6 https://t.co/H1lrPyIXXI',97,174
932249683086454784,2017-11-19 14:10:19,"b'""If you elect a clown, expect a circus"" https://t.co/TKGv9rLPRP'",198,314
932246611748622336,2017-11-19 13:58:07,b'What is the militia clause there for? https://t.co/wPnMUMqSon',34,82
932242861688541184,2017-11-19 13:43:13,"b'If Doug Jones wins, it will help persuade Democrats that they can retake the Senate next year https://t.co/F2XcVXoVI4'",80,203
932239198148530176,2017-11-19 13:28:39,b'How the world was trolled https://t.co/f7O8trWyT1',69,127
932236413764030464,2017-11-19 13:17:35,b'Groundwater had long been considered clean enough that it is used as drinking water with only minimal treatment https://t.co/HfQUMhWPkY',64,79
932232587829022721,2017-11-19 13:02:23,b'What started as a way to escape the horror and anxiety of the second world war turned into an accidental empire https://t.co/Nb7si0PnPs',24,70
932229844791910400,2017-11-19 12:51:29,"b'For now, inflation looks more likely to fall than to rise much further https://t.co/n1ozqDFGlp'",43,74
932226187434299392,2017-11-19 12:36:57,b'Latin Americans appear to be losing some of their enthusiasm for democracy https://t.co/r7tPTXouTV',56,74
932222249800753152,2017-11-19 12:21:18,b'Increased political fragmentation has opened the door to outsiders and populists https://t.co/eHSOzCNzlG',71,100
932219328245784576,2017-11-19 12:09:42,b'The most pressing requirement in Zimbabwe now is a properly supervised election  https://t.co/5SYonFHCJX',151,181
932215373302202369,2017-11-19 11:53:59,"b'Jeff Sessions, the attorney-general, seems to be suffering from convenient bouts of amnesia https://t.co/fgSMtKBfCd'",73,151
932212470164475904,2017-11-19 11:42:27,"b'The Trump administration is ""trying to find the dials to turn down regulation, with no analytical evidence"" https://t.co/xM52sruzr5'",80,93
932208640483889152,2017-11-19 11:27:14,"b'The ""version of femininity"" offered by some trans women, like Caitlyn Jenner, riles many feminists https://t.co/su7A8K0j5Q'",57,72
932204888964108289,2017-11-19 11:12:19,b'China\xe2\x80\x99s emissions of sulphur dioxide have fallen by 75% since 2007. India\xe2\x80\x99s grew by 50% over the same period https://t.co/jxtoaI3vz6',199,178
932201899226525697,2017-11-19 11:00:26,"b'Despite the importance of India\xe2\x80\x99s role in the second world war, few popular histories have addressed the subject https://t.co/XqkpWZttpm'",120,276
932198141373353984,2017-11-19 10:45:30,"b""Saudi Arabia hoped that without the figleaf of Saad Hariri as prime minister, Hizbullah's influence on Lebanon woul\xe2\x80\xa6 https://t.co/mXYVsJJTre""",40,57
932195373464129536,2017-11-19 10:34:31,b'It was not just Bengali ego that was on the line https://t.co/7GP3Iccs3Q',23,49
